# name	prop	strategy	detail	sha256(script)
abs	0	lemma-free		bd4a2e06abfcffb36a65e217e7099c2684c489678377960de56ab882150ebfdf
abs	0	direct		b1e962f0f194d24b780fa1d50593ee93204fb71c26ec7caafaff7b8ac15af204
abs	0	direct-fallback		b1e962f0f194d24b780fa1d50593ee93204fb71c26ec7caafaff7b8ac15af204
abs	1	lemma-free		6329f97d100d15774e1d5f05b0bbd3f22081b975695739a3ff0efa4f5eec6c42
abs	1	direct		915febd49f973753732c8805c1cd4a10d75408828cf92eb69030bdd5a0dacf63
abs	1	direct-fallback		915febd49f973753732c8805c1cd4a10d75408828cf92eb69030bdd5a0dacf63
abs	2	lemma-free		f982df2e085634b2a6191a3ecbf79587994ced54b1bc7f8718f302902cb07565
abs	2	direct		c0bdef935b8dcf5a9393e4cf96cebc8c49c2666c02fd37e6d857411931fd188a
abs	2	direct-fallback		c0bdef935b8dcf5a9393e4cf96cebc8c49c2666c02fd37e6d857411931fd188a
abs-small	0	lemma-free		1989e9bccd5cc056fc6606847710ddfd34e42ca681a55aecb61955ac2a187c73
abs-small	0	direct		08b828986b61c26376ff54cc00db7c13b024b80eae00a78327c9bf7071b0b5d3
abs-small	0	direct-fallback		08b828986b61c26376ff54cc00db7c13b024b80eae00a78327c9bf7071b0b5d3
add-s	0	lemma-free		6026e8c6aa03b9479e416f324f21f897c48db3425ad6ba322e39968d1f93bec3
add-s	0	direct		6026e8c6aa03b9479e416f324f21f897c48db3425ad6ba322e39968d1f93bec3
add-s	0	induction	binder 0 ctor 0	df9b55037c48a6c2e6d190924d7a5f28750b331269bfb0232bc460af7e57c6de
add-s	0	induction	binder 0 ctor 1	0aa3ca9a3604f6410ec8a85eefab77aa78e25d3bac207bd12828b7c003209d50
add-s	0	induction	binder 0 ctor 2	b5c9435c8d4abeb263a8a8a787b618867c7704dcd05df73f23f4af17ee185d09
add-s	0	induction	binder 1 ctor 0	5620c4d123b12baac9de9e3e3806ad4e5965fbbd0e21122fa55deb319b5c940b
add-s	0	induction	binder 1 ctor 1	29bb0a43236c48dd8fa44294405b35166327d7ca3412269b60e510fcb4f1e947
add-s	0	induction	binder 1 ctor 2	d31de906a446a7e565884307389e91e6030b686653b83eb077408c8b2198f1cd
add-s	0	lexicographic	binders 0,1 ctor 0 base	2a64de50ac0dbcf4db838f5637c8983f934e52f9faf9a28818cf4b8b0e48a603
add-s	0	lexicographic	binders 0,1 ctor 1,0	1cd657ddd1ab71460fb1ff72a49b5ba69b57c97c56cbb442464645a18f3f2a51
add-s	0	lexicographic	binders 0,1 ctor 1,1	269c90cb5e5af510a5b8ad6cb1d14633dfe8132ee8eaac0830a5091e2fc52f05
add-s	0	lexicographic	binders 0,1 ctor 1,2	5680b8708da6a04f7cf47586ceb6b0d6c0f3be2c909b5ea762088a367c54e4cf
add-s	0	lexicographic	binders 0,1 ctor 2,0	0b98421c5c724a7a717d1636c68a88e49393c57945384d535b6ea1aa36a462ec
add-s	0	lexicographic	binders 0,1 ctor 2,1	6df383faa616c3658db20c776517f45862800fdbbfafe3b84e146d891523acf0
add-s	0	lexicographic	binders 0,1 ctor 2,2	7f351c593e28b8141fed4ede3f429c2485827d8d9853f060797c7f23f3d366df
add-s	0	lexicographic	binders 1,0 ctor 0 base	235e989f245bb3285bafe8f00748f31e179d96a3ca310b4f6838f691278dd99d
add-s	0	lexicographic	binders 1,0 ctor 1,0	cd1af22af10304f1b98bd89a29025bddbc460efede4b40edda4fa2b158444e3e
add-s	0	lexicographic	binders 1,0 ctor 1,1	aca95a6e52276168a17c182d28ba1d52788890a25c6d3398714d246a1a9add4a
add-s	0	lexicographic	binders 1,0 ctor 1,2	b5499afbecc2d6c2cf95fffda74620768254b15a59a265c4f5e8990befcacd31
add-s	0	lexicographic	binders 1,0 ctor 2,0	8ef7faa2a44e6798849fead7e9d77256676fcec52c54e3f95e361d66af4d6ef6
add-s	0	lexicographic	binders 1,0 ctor 2,1	e022d935c28bd93e95349deae3db46d4e324c53b582763104f4f210fc9e33d68
add-s	0	lexicographic	binders 1,0 ctor 2,2	7a7596e3a3e3e4f82709470d8fef3dfe03be826bfba96c1dabc54aa2bfdf3db0
