# SPEC §7.5 shard assignment — the WITNESS for the partition rule.
#
#   shard(h, p, n) = first_64_bits(SHA-256(h ++ "#" ++ decimal(p))) mod n
#
# `h` is the 64-char LOWERCASE HEX spelling, not the 32 bytes it denotes;
# the separator is one '#'; decimal(p) is base ten, no padding, no sign;
# first_64_bits is the digest's leading 8 bytes big-endian.
#
# n=1 is the unsharded verifier and is 0 throughout — the only column whose
# correct value is known without computing a digest, and so the one that
# catches a file regenerated from a broken rule.
#
# name	hash	prop	n=1	n=2	n=3	n=7	n=8	n=32	n=100
abs	f8552a9f06ee472b3b4d499b0b5eba688def8463e9e4703248fc1d158eb7ae4d	0	0	1	1	6	1	17	81
abs	f8552a9f06ee472b3b4d499b0b5eba688def8463e9e4703248fc1d158eb7ae4d	1	0	1	1	5	5	21	37
abs	f8552a9f06ee472b3b4d499b0b5eba688def8463e9e4703248fc1d158eb7ae4d	2	0	0	2	5	0	8	92
abs-small	ca9250f107c37d78d5b3127f42fceb5b36764061883f80dbbe4c144140ed1b54	0	0	1	1	5	5	5	13
add-s	ef634ab12e7e4b1d9dbaeb293509b80f82cfaceb2376c92c337e438247756df8	0	0	1	2	5	1	9	65
all	966495ef1b6fcf872f35e01913400fbc4ca82c96339d83acc90ac7a4c274088a	0	0	0	1	4	2	2	14
all	966495ef1b6fcf872f35e01913400fbc4ca82c96339d83acc90ac7a4c274088a	1	0	0	0	0	6	6	62
any	dd0648da746668f84c85f64bd6969f4f0d5ed5d6fdb7cfaf6ae964a224ad6cfb	0	0	0	1	3	2	26	26
any	dd0648da746668f84c85f64bd6969f4f0d5ed5d6fdb7cfaf6ae964a224ad6cfb	1	0	1	1	5	3	3	67
append	78d23e273a4858e3ad9b68ed5795a75a163e1b124a1a6b75229e9842a2ba64f3	0	0	1	1	1	3	11	83
append	78d23e273a4858e3ad9b68ed5795a75a163e1b124a1a6b75229e9842a2ba64f3	1	0	0	2	6	0	16	0
append	78d23e273a4858e3ad9b68ed5795a75a163e1b124a1a6b75229e9842a2ba64f3	2	0	1	0	1	3	3	43
bad-reverse	af6b61e2180ad5ccdeb541b00c7f53d285aa3f3af997a5e00653954492cb25f1	0	0	0	0	6	0	24	56
bad-reverse	af6b61e2180ad5ccdeb541b00c7f53d285aa3f3af997a5e00653954492cb25f1	1	0	1	2	1	5	29	61
bytes-after	1d2158287a2cb49f9dea69c3a0f3f6ad5ad10c365d84304dccc1fe0fb773e044	0	0	0	0	5	6	30	30
bytes-after	1d2158287a2cb49f9dea69c3a0f3f6ad5ad10c365d84304dccc1fe0fb773e044	1	0	1	1	6	1	25	85
bytes-ok	d2406871baf1bde2e17ad756e82e61cdbcdfeea8d7b74a382306e894c7450e98	0	0	0	1	3	4	12	24
bytes-ok	d2406871baf1bde2e17ad756e82e61cdbcdfeea8d7b74a382306e894c7450e98	1	0	0	2	2	6	22	62
bytes-ok	d2406871baf1bde2e17ad756e82e61cdbcdfeea8d7b74a382306e894c7450e98	2	0	1	0	5	7	7	39
bytes-prefix	6254197a78fe26dbe82e70ac0a07763a5360d89e2c95cf52176aad644e3b4ff4	0	0	1	1	4	3	11	99
bytes-prefix	6254197a78fe26dbe82e70ac0a07763a5360d89e2c95cf52176aad644e3b4ff4	1	0	1	1	0	1	17	77
bytes-prefix	6254197a78fe26dbe82e70ac0a07763a5360d89e2c95cf52176aad644e3b4ff4	2	0	0	1	2	0	16	96
bytes-str	066e843a31cdadd45b1ad6aa0aaaf5e09cf6c33232c466361ec6dd96af50cfba	0	0	1	2	2	3	19	91
bytes-str	066e843a31cdadd45b1ad6aa0aaaf5e09cf6c33232c466361ec6dd96af50cfba	1	0	1	2	3	1	25	61
caps-with	b63e7163b5dd3749417150e75006b123fe3820c03d6f72eb365dd0af1bc9a244	0	0	1	0	6	1	25	37
